Name:;Data 6/10/2024 15_08_28
Owner:;Hella
Comments:; 
Acquisition Date:;6/3/2024 10:26:00 AM
Scan List:;Scan List A
Instrument:;34980A;Address:;USB0::2391::1287::MY56482360::0::INSTR;Modules:;2;Slot9:;Computed;Slot1:;34925A
Total Channels:;13
Channel;Name;Function;Range;Resolution;AdvSettings;Scale;Gain;Offset;Label;Limit Type;Limit Setting;
1001;temp ref;Temp 4-Wire RTD;None;C;Temp 4-Wire RTD#1#0.016#Auto#0.001#C#0.00385 (DIN)#100#True;False;1;0;C; ;
1002;TEMP AMB;Temp (Type K);None;C;Temp (Type K)#0.2#0.016#Auto#0.001#C#External#0#true#10 M;False;1;0;C; ;
1004;G In Sol;Temp (Type K);None;C;Temp (Type K)#0.2#0.016#Auto#0.001#C#External#0#true#10 M;False;1;0;C; ;
1005;G IN P;Temp (Type K);None;C;Temp (Type K)#0.2#0.016#Auto#0.001#C#External#0#true#10 M;False;1;0;C; ;
1006;G C H;Temp (Type K);None;C;Temp (Type K)#0.2#0.016#Auto#0.001#C#External#0#true#10 M;False;1;0;C; ;
1007;D Coil P;Temp (Type K);None;C;Temp (Type K)#0.2#0.016#Auto#0.001#C#External#0#true#10 M;False;1;0;C; ;
1008;D IN P;Temp (Type K);None;C;Temp (Type K)#0.2#0.016#Auto#0.001#C#External#0#true#10 M;False;1;0;C; ;
1009;D Coil S;Temp (Type K);None;C;Temp (Type K)#0.2#0.016#Auto#0.001#C#External#0#true#10 M;False;1;0;C; ;
1013;G Box;Temp (Type K);None;C;Temp (Type K)#0.2#0.016#Auto#0.001#C#External#0#true#10 M;False;1;0;C; ;
1014;D Box;Temp (Type K);None;C;Temp (Type K)#0.2#0.016#Auto#0.001#C#External#0#true#10 M;False;1;0;C; ;
1017;V 1;DC Voltage;Auto;5.5;DC Voltage#10M#1#0.016#Auto#0.001;False;1;0;VDC; ;
1040;SHUNT4;DC Voltage;Auto;5.5;DC Voltage#10M#1#0.016#Auto#0.001;False;1;0;VDC; ;
9004;TOK4_1ohm;Ch1040 / 1;;;;False;1;0;ADC; ;

Limit Type;Integer Symbol
None;0
Below;1
Above;2
Out of Limits;3
In Limits;4
Stabilize;5
Bitwise equal;6
Bitwise not equal;7
Numeric equal;8
Numeric not equal;9
Totalizer;11
Destabilize;12

Scan  Control:;Start Action:;Immediately;Stop Action:;User Terminated
Scan Order:1001 1002 1004 1005 1006 1007 1008 1009 1013 1014 1017 1040 
Scan;Time;1001 <temp ref> (C);Limit 1001;1002 <TEMP AMB> (C);Limit 1002;1004 <G In Sol> (C);Limit 1004;1005 <G IN P> (C);Limit 1005;1006 <G C H> (C);Limit 1006;1007 <D Coil P> (C);Limit 1007;1008 <D IN P> (C);Limit 1008;1009 <D Coil S> (C);Limit 1009;1013 <G Box> (C);Limit 1013;1014 <D Box> (C);Limit 1014;1017 <V 1> (VDC);Limit 1017;1040 <SHUNT4> (VDC);Limit 1040;9004 <TOK4_1ohm> (ADC);Limit 9004
1637;10.6.2024 15:35:48:907;26.166;0;88.01;0;114.706;0;119.821;0;131.82;0;128.556;0;118.365;0;121.896;0;96.492;0;92.593;0;12.970983;0;0.84318797;0;0.84318797;0
1638;10.6.2024 15:35:49:907;26.166;0;88.046;0;114.743;0;119.785;0;131.765;0;128.538;0;118.456;0;121.878;0;96.546;0;92.557;0;12.970983;0;0.84184717;0;0.84184717;0
1639;10.6.2024 15:35:50:907;26.169;0;88.013;0;114.746;0;119.77;0;131.749;0;128.522;0;118.368;0;121.881;0;96.477;0;92.632;0;12.970815;0;0.84444434;0;0.84444434;0
1640;10.6.2024 15:35:51:907;26.164;0;88.008;0;114.814;0;119.71;0;131.799;0;128.517;0;118.418;0;121.876;0;96.526;0;92.788;0;12.970815;0;0.8470298;0;0.8470298;0
1641;10.6.2024 15:35:52:907;26.166;0;87.974;0;114.706;0;119.73;0;131.82;0;128.556;0;118.383;0;121.933;0;96.474;0;92.772;0;12.970648;0;0.84334512;0;0.84334512;0
1642;10.6.2024 15:35:53:907;26.166;0;88.028;0;114.816;0;119.803;0;131.691;0;128.483;0;118.401;0;121.933;0;96.456;0;92.826;0;12.971066;0;0.84363184;0;0.84363184;0
1643;10.6.2024 15:35:54:907;26.171;0;88.051;0;114.875;0;119.753;0;131.861;0;128.506;0;118.388;0;121.919;0;96.515;0;92.813;0;12.970983;0;0.84305172;0;0.84305172;0
1644;10.6.2024 15:35:55:907;26.164;0;88.098;0;114.905;0;119.728;0;131.873;0;128.536;0;118.381;0;121.912;0;96.454;0;92.752;0;12.970899;0;0.84842744;0;0.84842744;0
1645;10.6.2024 15:35:56:907;26.166;0;88.082;0;114.852;0;119.748;0;131.875;0;128.483;0;118.347;0;121.914;0;96.492;0;92.593;0;12.970648;0;0.85029071;0;0.85029071;0
1646;10.6.2024 15:35:57:907;26.169;0;88.031;0;114.837;0;119.715;0;131.933;0;128.486;0;118.277;0;121.899;0;96.549;0;92.506;0;12.970731;0;0.84540062;0;0.84540062;0
1647;10.6.2024 15:35:58:907;26.164;0;88.044;0;114.886;0;119.655;0;131.909;0;128.481;0;118.381;0;121.967;0;96.49;0;92.591;0;12.970648;0;0.84463911;0;0.84463911;0
1648;10.6.2024 15:35:59:907;26.166;0;88.082;0;114.961;0;119.694;0;131.893;0;128.501;0;118.347;0;121.896;0;96.51;0;92.629;0;12.97115;0;0.84548003;0;0.84548003;0
1649;10.6.2024 15:36:00:907;26.166;0;88.064;0;114.907;0;119.694;0;131.893;0;128.519;0;118.292;0;121.951;0;96.492;0;92.611;0;12.970564;0;0.84421864;0;0.84421864;0
1650;10.6.2024 15:36:01:907;26.169;0;88.139;0;114.946;0;119.679;0;131.914;0;128.504;0;118.35;0;121.954;0;96.495;0;92.452;0;12.970899;0;0.84372211;0;0.84372211;0
1651;10.6.2024 15:36:02:907;26.166;0;88.1;0;114.979;0;119.712;0;131.948;0;128.483;0;118.347;0;121.914;0;96.51;0;92.557;0;12.970983;0;0.84422199;0;0.84422199;0
1652;10.6.2024 15:36:03:907;26.166;0;88.082;0;114.943;0;119.694;0;131.838;0;128.556;0;118.183;0;121.933;0;96.546;0;92.7;0;12.970815;0;0.8454817;0;0.8454817;0
1653;10.6.2024 15:36:04:907;26.166;0;88.1;0;114.925;0;119.748;0;131.856;0;128.519;0;118.274;0;121.896;0;96.51;0;92.754;0;12.970731;0;0.84355326;0;0.84355326;0
1654;10.6.2024 15:36:05:907;26.166;0;88.028;0;114.87;0;119.73;0;131.838;0;128.556;0;118.365;0;121.987;0;96.528;0;92.736;0;12.970648;0;0.84350311;0;0.84350311;0
1655;10.6.2024 15:36:06:907;26.169;0;87.941;0;114.819;0;119.697;0;131.841;0;128.541;0;118.277;0;121.881;0;96.531;0;92.811;0;12.97115;0;0.84317543;0;0.84317543;0
1656;10.6.2024 15:36:07:907;26.166;0;87.884;0;114.852;0;119.785;0;131.728;0;128.538;0;118.31;0;121.987;0;96.528;0;92.772;0;12.971066;0;0.84230525;0;0.84230525;0
1657;10.6.2024 15:36:08:907;26.169;0;87.995;0;114.782;0;119.788;0;131.731;0;128.522;0;118.277;0;121.99;0;96.603;0;92.829;0;12.970564;0;0.84352568;0;0.84352568;0
1658;10.6.2024 15:36:09:907;26.164;0;88.062;0;114.814;0;119.801;0;131.763;0;128.591;0;118.254;0;122.04;0;96.562;0;92.824;0;12.970731;0;0.84711841;0;0.84711841;0
1659;10.6.2024 15:36:10:907;26.166;0;88.028;0;114.779;0;119.767;0;131.728;0;128.574;0;118.292;0;122.024;0;96.528;0;92.718;0;12.970983;0;0.84507211;0;0.84507211;0
1660;10.6.2024 15:36:11:908;26.166;0;88.082;0;114.652;0;119.694;0;131.893;0;128.776;0;118.274;0;121.751;0;96.51;0;92.898;0;12.970899;0;0.84608272;0;0.84608272;0
1661;10.6.2024 15:36:12:907;26.164;0;88.152;0;114.795;0;119.783;0;131.781;0;128.627;0;118.272;0;122.022;0;96.49;0;92.734;0;12.970899;0;0.8411099;0;0.8411099;0
1662;10.6.2024 15:36:13:907;26.166;0;88.244;0;114.87;0;119.839;0;131.783;0;128.593;0;118.329;0;122.06;0;96.492;0;92.844;0;12.970983;0;0.84267138;0;0.84267138;0
1663;10.6.2024 15:36:14:907;26.166;0;88.28;0;114.852;0;119.839;0;131.765;0;128.611;0;118.256;0;122.042;0;96.474;0;92.952;0;12.970899;0;0.84359004;0;0.84359004;0
1664;10.6.2024 15:36:15:907;26.169;0;88.319;0;114.837;0;119.824;0;131.676;0;128.687;0;118.222;0;122.118;0;96.405;0;92.973;0;12.971066;0;0.84285193;0;0.84285193;0
1665;10.6.2024 15:36:16:907;26.166;0;88.244;0;114.888;0;119.858;0;131.765;0;128.666;0;118.238;0;122.115;0;96.438;0;92.898;0;12.97048;0;0.84535297;0;0.84535297;0
1666;10.6.2024 15:36:17:907;26.169;0;88.265;0;114.855;0;119.842;0;131.768;0;128.632;0;118.222;0;122.099;0;96.441;0;92.991;0;12.970731;0;0.84540731;0;0.84540731;0
1667;10.6.2024 15:36:18:907;26.166;0;88.208;0;114.852;0;119.894;0;131.765;0;128.648;0;118.183;0;122.115;0;96.42;0;93.078;0;12.970899;0;0.84314701;0;0.84314701;0
1668;10.6.2024 15:36:19:907;26.166;0;88.28;0;114.87;0;119.876;0;131.746;0;128.703;0;118.128;0;122.151;0;96.384;0;93.042;0;12.970564;0;0.84653996;0;0.84653996;0
1669;10.6.2024 15:36:20:907;26.169;0;88.337;0;114.837;0;119.879;0;131.749;0;128.724;0;118.241;0;122.136;0;96.477;0;92.973;0;12.970899;0;0.84558703;0;0.84558703;0
1670;10.6.2024 15:36:21:907;26.166;0;88.28;0;114.834;0;119.894;0;131.728;0;128.721;0;118.147;0;122.151;0;96.492;0;93.006;0;12.970731;0;0.84651321;0;0.84651321;0
1671;10.6.2024 15:36:22:907;26.166;0;88.262;0;114.834;0;119.912;0;131.636;0;128.703;0;118.147;0;122.133;0;96.474;0;93.042;0;12.970731;0;0.84397957;0;0.84397957;0
1672;10.6.2024 15:36:23:907;26.16;0;88.346;0;114.81;0;119.943;0;131.685;0;128.715;0;118.104;0;122.182;0;96.468;0;93.018;0;12.970983;0;0.84112411;0;0.84112411;0
1673;10.6.2024 15:36:24:907;26.164;0;88.368;0;114.814;0;119.965;0;131.598;0;128.756;0;118.126;0;122.131;0;96.562;0;93.022;0;12.970815;0;0.84399964;0;0.84399964;0
1674;10.6.2024 15:36:25:907;26.166;0;88.388;0;114.688;0;119.949;0;131.618;0;128.758;0;118.183;0;122.115;0;96.564;0;92.88;0;12.971066;0;0.84721705;0;0.84721705;0
1675;10.6.2024 15:36:26:907;26.164;0;88.35;0;114.741;0;119.983;0;131.561;0;128.737;0;118.181;0;122.058;0;96.544;0;92.86;0;12.971401;0;0.84366611;0;0.84366611;0
1676;10.6.2024 15:36:27:907;26.166;0;88.388;0;114.725;0;119.912;0;131.618;0;128.739;0;118.128;0;122.078;0;96.564;0;92.988;0;12.970899;0;0.84455635;0;0.84455635;0
1677;10.6.2024 15:36:28:907;26.164;0;88.26;0;114.741;0;119.928;0;131.653;0;128.737;0;118.181;0;122.058;0;96.544;0;93.04;0;12.970815;0;0.84381657;0;0.84381657;0
1678;10.6.2024 15:36:29:907;26.166;0;88.28;0;114.743;0;119.967;0;131.563;0;128.813;0;118.165;0;122.06;0;96.582;0;92.898;0;12.970983;0;0.8438801;0;0.8438801;0
1679;10.6.2024 15:36:30:907;26.164;0;88.314;0;114.668;0;119.965;0;131.598;0;128.701;0;118.199;0;122.095;0;96.58;0;92.824;0;12.970983;0;0.84362097;0;0.84362097;0
1680;10.6.2024 15:36:31:907;26.164;0;88.386;0;114.723;0;119.983;0;131.543;0;128.774;0;118.236;0;122.076;0;96.562;0;92.914;0;12.970815;0;0.84301243;0;0.84301243;0
1681;10.6.2024 15:36:32:907;26.164;0;88.332;0;114.723;0;120.001;0;131.561;0;128.774;0;118.199;0;122.113;0;96.562;0;92.932;0;12.97115;0;0.84480796;0;0.84480796;0
1682;10.6.2024 15:36:33:907;26.164;0;88.404;0;114.723;0;119.983;0;131.616;0;128.737;0;118.254;0;122.076;0;96.616;0;92.842;0;12.970648;0;0.84618637;0;0.84618637;0
1683;10.6.2024 15:36:34:907;26.164;0;88.368;0;114.723;0;120.019;0;131.616;0;128.719;0;118.272;0;122.095;0;96.634;0;92.86;0;12.970815;0;0.84272237;0;0.84272237;0
1684;10.6.2024 15:36:35:907;26.166;0;88.406;0;114.725;0;120.021;0;131.673;0;128.776;0;118.31;0;122.115;0;96.6;0;92.88;0;12.97048;0;0.84487149;0;0.84487149;0
1685;10.6.2024 15:36:36:907;26.169;0;88.498;0;114.728;0;120.006;0;131.676;0;128.706;0;118.241;0;122.081;0;96.585;0;92.991;0;12.970731;0;0.84230191;0;0.84230191;0
1686;10.6.2024 15:36:37:907;26.162;0;88.438;0;114.739;0;120.036;0;131.687;0;128.717;0;118.325;0;122.129;0;96.632;0;92.912;0;12.97115;0;0.84279593;0;0.84279593;0
1687;10.6.2024 15:36:38:907;26.169;0;88.516;0;114.728;0;120.006;0;131.731;0;128.724;0;118.295;0;122.063;0;96.675;0;93.027;0;12.971066;0;0.84533375;0;0.84533375;0
1688;10.6.2024 15:36:39:907;26.162;0;88.545;0;114.739;0;120.072;0;131.724;0;128.717;0;118.306;0;122.111;0;96.65;0;93.002;0;12.971066;0;0.842872;0;0.842872;0
1689;10.6.2024 15:36:40:907;26.166;0;88.549;0;114.743;0;120.021;0;131.728;0;128.703;0;118.31;0;122.096;0;96.636;0;93.006;0;12.970899;0;0.84454883;0;0.84454883;0
1690;10.6.2024 15:36:41:907;26.162;0;88.563;0;114.812;0;120.036;0;131.779;0;128.735;0;118.325;0;122.147;0;96.614;0;93.002;0;12.970648;0;0.84487065;0;0.84487065;0
1691;10.6.2024 15:36:42:907;26.166;0;88.567;0;114.797;0;120.003;0;131.71;0;128.721;0;118.274;0;122.115;0;96.636;0;93.024;0;12.970564;0;0.84460985;0;0.84460985;0
1692;10.6.2024 15:36:43:907;26.164;0;88.601;0;114.777;0;119.983;0;131.744;0;128.719;0;118.29;0;122.149;0;96.652;0;92.95;0;12.970815;0;0.84252677;0;0.84252677;0
1693;10.6.2024 15:36:44:907;26.166;0;88.621;0;114.852;0;119.985;0;131.801;0;128.721;0;118.347;0;122.06;0;96.636;0;92.916;0;12.970983;0;0.84172931;0;0.84172931;0
1694;10.6.2024 15:36:45:907;26.164;0;88.493;0;114.85;0;120.056;0;131.799;0;128.701;0;118.327;0;122.076;0;96.652;0;93.004;0;12.970815;0;0.84608021;0;0.84608021;0
1695;10.6.2024 15:36:46:907;26.164;0;88.511;0;114.905;0;120.001;0;131.744;0;128.701;0;118.381;0;122.095;0;96.706;0;92.932;0;12.970815;0;0.84420443;0;0.84420443;0
1696;10.6.2024 15:36:47:907;26.162;0;88.581;0;114.921;0;120.054;0;131.797;0;128.68;0;118.343;0;122.02;0;96.74;0;92.984;0;12.97115;0;0.84587541;0;0.84587541;0
1697;10.6.2024 15:36:48:907;26.166;0;88.495;0;114.925;0;119.967;0;131.746;0;128.684;0;118.42;0;122.06;0;96.762;0;92.934;0;12.970648;0;0.84404143;0;0.84404143;0
1698;10.6.2024 15:36:49:907;26.164;0;88.583;0;114.832;0;120.001;0;131.799;0;128.664;0;118.454;0;122.04;0;96.778;0;92.968;0;12.970899;0;0.84463325;0;0.84463325;0
1699;10.6.2024 15:36:50:907;26.166;0;88.531;0;114.907;0;119.985;0;131.856;0;128.666;0;118.456;0;122.024;0;96.78;0;92.844;0;12.970731;0;0.84459647;0;0.84459647;0
1700;10.6.2024 15:36:51:907;26.169;0;88.57;0;114.928;0;119.952;0;131.823;0;128.632;0;118.404;0;122.045;0;96.837;0;92.937;0;12.971066;0;0.8353948;0;0.8353948;0
1701;10.6.2024 15:36:52:907;26.166;0;88.603;0;114.943;0;119.949;0;131.856;0;128.593;0;118.456;0;122.005;0;96.888;0;92.898;0;12.971234;0;0.83684426;0;0.83684426;0
1702;10.6.2024 15:36:53:907;26.166;0;88.621;0;114.925;0;119.93;0;131.911;0;128.593;0;118.456;0;122.024;0;96.87;0;93.06;0;12.97115;0;0.83439338;0;0.83439338;0
1703;10.6.2024 15:36:54:907;26.166;0;88.549;0;114.888;0;119.912;0;131.82;0;128.556;0;118.511;0;122.024;0;96.977;0;92.934;0;12.97115;0;0.83545415;0;0.83545415;0
1704;10.6.2024 15:36:55:907;26.166;0;88.531;0;114.925;0;119.93;0;131.856;0;128.538;0;118.456;0;121.933;0;96.888;0;92.916;0;12.97115;0;0.83667959;0;0.83667959;0
1705;10.6.2024 15:36:56:907;26.164;0;88.619;0;114.959;0;119.965;0;131.818;0;128.536;0;118.509;0;121.949;0;96.904;0;92.842;0;12.971234;0;0.83731153;0;0.83731153;0
1706;10.6.2024 15:36:57:907;26.166;0;88.549;0;114.943;0;119.894;0;131.856;0;128.483;0;118.547;0;121.951;0;96.941;0;92.916;0;12.971401;0;0.83542907;0;0.83542907;0
1707;10.6.2024 15:36:58:907;26.164;0;88.601;0;114.959;0;119.892;0;131.909;0;128.499;0;118.436;0;121.931;0;96.939;0;92.968;0;12.971317;0;0.83651408;0;0.83651408;0
1708;10.6.2024 15:36:59:907;26.164;0;88.565;0;114.977;0;119.91;0;131.873;0;128.462;0;118.545;0;121.967;0;96.939;0;92.932;0;12.970899;0;0.8382954;0;0.8382954;0
1709;10.6.2024 15:37:00:907;26.166;0;88.585;0;114.961;0;119.912;0;131.893;0;128.446;0;118.511;0;121.951;0;96.941;0;92.844;0;12.971485;0;0.82261458;0;0.82261458;0
1710;10.6.2024 15:37:01:907;26.166;0;88.639;0;114.961;0;119.894;0;131.838;0;128.428;0;118.529;0;121.896;0;96.959;0;92.88;0;12.971987;0;0.82394869;0;0.82394869;0
1711;10.6.2024 15:37:02:907;26.16;0;88.525;0;114.864;0;119.925;0;131.74;0;128.367;0;118.45;0;121.963;0;96.954;0;93.072;0;12.971485;0;0.8232365;0;0.8232365;0
1712;10.6.2024 15:37:03:907;26.166;0;88.657;0;114.87;0;119.876;0;131.71;0;128.409;0;118.511;0;121.878;0;96.905;0;93.168;0;12.971401;0;0.82029159;0;0.82029159;0
1713;10.6.2024 15:37:04:907;26.162;0;88.725;0;114.885;0;119.908;0;131.742;0;128.405;0;118.434;0;121.874;0;96.92;0;93.056;0;12.971652;0;0.82300328;0;0.82300328;0
1714;10.6.2024 15:37:05:907;26.166;0;88.657;0;114.961;0;119.876;0;131.765;0;128.373;0;118.511;0;121.933;0;96.959;0;93.132;0;12.971652;0;0.82111078;0;0.82111078;0
1715;10.6.2024 15:37:06:907;26.16;0;88.705;0;114.901;0;119.943;0;131.685;0;128.312;0;118.541;0;121.836;0;96.918;0;93.072;0;12.971568;0;0.8220913;0;0.8220913;0
1716;10.6.2024 15:37:07:907;26.16;0;88.651;0;114.846;0;119.925;0;131.685;0;128.33;0;118.559;0;121.818;0;96.918;0;93.18;0;12.971568;0;0.82456225;0;0.82456225;0
1717;10.6.2024 15:37:08:907;26.164;0;88.655;0;114.959;0;119.947;0;131.708;0;128.334;0;118.509;0;121.821;0;96.993;0;93.094;0;12.971401;0;0.82638286;0;0.82638286;0
1718;10.6.2024 15:37:09:907;26.164;0;88.673;0;114.886;0;119.91;0;131.671;0;128.297;0;118.582;0;121.858;0;96.957;0;93.13;0;12.971568;0;0.82642465;0;0.82642465;0
1719;10.6.2024 15:37:10:907;26.169;0;88.606;0;114.891;0;119.861;0;131.713;0;128.229;0;118.55;0;121.863;0;96.998;0;93.081;0;12.971485;0;0.82472024;0;0.82472024;0
1720;10.6.2024 15:37:11:907;26.164;0;88.637;0;114.923;0;119.928;0;131.616;0;128.297;0;118.527;0;121.821;0;96.957;0;93.148;0;12.971987;0;0.82001825;0;0.82001825;0
1721;10.6.2024 15:37:12:907;26.162;0;88.653;0;114.885;0;119.835;0;131.632;0;128.167;0;118.489;0;121.838;0;96.973;0;93.074;0;12.971819;0;0.82311362;0;0.82311362;0
1722;10.6.2024 15:37:13:907;26.166;0;88.693;0;114.888;0;119.876;0;131.618;0;128.189;0;118.511;0;121.842;0;96.959;0;93.276;0;12.971652;0;0.82278929;0;0.82278929;0
1723;10.6.2024 15:37:14:907;26.164;0;88.727;0;114.868;0;119.856;0;131.634;0;128.224;0;118.472;0;121.894;0;96.957;0;93.274;0;12.971485;0;0.82055407;0;0.82055407;0
1724;10.6.2024 15:37:15:907;26.171;0;88.716;0;114.912;0;119.881;0;131.641;0;128.213;0;118.57;0;121.865;0;97;0;93.101;0;12.971819;0;0.82140252;0;0.82140252;0
1725;10.6.2024 15:37:16:907;26.164;0;88.709;0;114.923;0;119.874;0;131.616;0;128.224;0;118.454;0;121.84;0;96.957;0;93.166;0;12.971401;0;0.82251511;0;0.82251511;0
1726;10.6.2024 15:37:17:907;26.164;0;88.709;0;114.905;0;119.91;0;131.708;0;128.206;0;118.454;0;121.84;0;96.993;0;93.22;0;12.971317;0;0.82284697;0;0.82284697;0
1727;10.6.2024 15:37:18:907;26.164;0;88.799;0;114.905;0;119.928;0;131.708;0;128.279;0;118.472;0;121.803;0;96.957;0;93.22;0;12.971652;0;0.82168422;0;0.82168422;0
1728;10.6.2024 15:37:19:907;26.16;0;88.687;0;114.883;0;119.888;0;131.667;0;128.238;0;118.414;0;121.799;0;96.954;0;93.216;0;12.971485;0;0.82096868;0;0.82096868;0
1729;10.6.2024 15:37:20:907;26.166;0;88.675;0;114.852;0;119.93;0;131.618;0;128.153;0;118.42;0;121.823;0;96.941;0;93.24;0;12.971819;0;0.82229527;0;0.82229527;0
1730;10.6.2024 15:37:21:907;26.164;0;88.619;0;114.905;0;119.965;0;131.598;0;128.224;0;118.454;0;121.803;0;96.957;0;93.22;0;12.971568;0;0.82413677;0;0.82413677;0
1731;10.6.2024 15:37:22:907;26.164;0;88.655;0;114.905;0;119.947;0;131.616;0;128.242;0;118.436;0;121.876;0;96.993;0;93.256;0;12.971317;0;0.82287706;0;0.82287706;0
1732;10.6.2024 15:37:23:907;26.166;0;88.693;0;114.907;0;119.949;0;131.6;0;128.226;0;118.42;0;121.878;0;96.977;0;93.222;0;12.971819;0;0.82173103;0;0.82173103;0
1733;10.6.2024 15:37:24:908;26.164;0;88.637;0;114.723;0;119.874;0;131.708;0;128.444;0;118.327;0;121.749;0;96.904;0;93.292;0;12.971568;0;0.82051729;0;0.82051729;0
1734;10.6.2024 15:37:25:907;26.164;0;88.727;0;114.85;0;119.874;0;131.543;0;128.297;0;118.418;0;121.912;0;96.904;0;93.166;0;12.971903;0;0.82312282;0;0.82312282;0
1735;10.6.2024 15:37:26:907;26.164;0;88.727;0;114.905;0;119.983;0;131.579;0;128.187;0;118.436;0;121.858;0;96.904;0;93.202;0;12.972154;0;0.82097119;0;0.82097119;0
1736;10.6.2024 15:37:27:907;26.169;0;88.75;0;114.891;0;119.952;0;131.548;0;128.211;0;118.477;0;121.881;0;96.944;0;93.171;0;12.971401;0;0.82403563;0;0.82403563;0
1737;10.6.2024 15:37:28:907;26.164;0;88.763;0;114.868;0;119.928;0;131.506;0;128.279;0;118.436;0;121.858;0;96.975;0;93.22;0;12.971568;0;0.82142425;0;0.82142425;0
1738;10.6.2024 15:37:29:907;26.166;0;88.801;0;114.907;0;119.949;0;131.581;0;128.244;0;118.383;0;121.86;0;96.959;0;93.204;0;12.971568;0;0.82613961;0;0.82613961;0
1739;10.6.2024 15:37:30:907;26.164;0;88.781;0;114.905;0;119.928;0;131.543;0;128.261;0;118.399;0;121.821;0;96.975;0;93.274;0;12.971485;0;0.82284529;0;0.82284529;0
1740;10.6.2024 15:37:31:907;26.164;0;88.835;0;114.886;0;119.947;0;131.469;0;128.224;0;118.399;0;121.876;0;96.975;0;93.22;0;12.971234;0;0.82113335;0;0.82113335;0
1741;10.6.2024 15:37:32:907;26.166;0;88.837;0;114.852;0;119.967;0;131.49;0;128.263;0;118.438;0;121.878;0;96.959;0;93.096;0;12.971568;0;0.82358591;0;0.82358591;0
1742;10.6.2024 15:37:33:907;26.164;0;88.835;0;114.886;0;119.91;0;131.543;0;128.279;0;118.436;0;121.876;0;96.993;0;93.184;0;12.971819;0;0.82332594;0;0.82332594;0
1743;10.6.2024 15:37:34:907;26.166;0;88.873;0;114.888;0;119.912;0;131.453;0;128.226;0;118.456;0;121.842;0;96.995;0;93.15;0;12.971903;0;0.82070119;0;0.82070119;0
1744;10.6.2024 15:37:35:907;26.166;0;88.855;0;114.852;0;119.876;0;131.453;0;128.263;0;118.474;0;121.86;0;96.995;0;93.096;0;12.971568;0;0.8241117;0;0.8241117;0
1745;10.6.2024 15:37:36:907;26.166;0;88.927;0;114.852;0;119.894;0;131.563;0;128.263;0;118.438;0;121.86;0;97.013;0;93.186;0;12.971485;0;0.82284864;0;0.82284864;0
1746;10.6.2024 15:37:37:907;26.166;0;88.783;0;114.888;0;119.912;0;131.526;0;128.244;0;118.474;0;121.86;0;97.049;0;93.311;0;12.971652;0;0.82077141;0;0.82077141;0
1747;10.6.2024 15:37:38:908;26.162;0;88.833;0;114.63;0;119.854;0;131.614;0;128.442;0;118.361;0;121.674;0;96.938;0;93.505;0;12.971652;0;0.82397795;0;0.82397795;0
1748;10.6.2024 15:37:39:907;26.169;0;88.894;0;114.91;0;119.897;0;131.548;0;128.266;0;118.477;0;121.845;0;97.034;0;93.44;0;12.971819;0;0.82174273;0;0.82174273;0
1749;10.6.2024 15:37:40:907;26.166;0;88.909;0;114.925;0;119.912;0;131.6;0;128.263;0;118.438;0;121.842;0;97.085;0;93.491;0;12.971568;0;0.82018125;0;0.82018125;0
1750;10.6.2024 15:37:41:907;26.164;0;88.853;0;114.905;0;119.91;0;131.561;0;128.224;0;118.418;0;121.84;0;97.065;0;93.435;0;12.971401;0;0.82478627;0;0.82478627;0
1751;10.6.2024 15:37:42:907;26.164;0;88.853;0;114.868;0;119.928;0;131.579;0;128.187;0;118.399;0;121.767;0;97.083;0;93.309;0;12.971234;0;0.82250508;0;0.82250508;0
1752;10.6.2024 15:37:43:907;26.164;0;88.871;0;114.832;0;119.874;0;131.598;0;128.187;0;118.509;0;121.84;0;97.029;0;93.381;0;12.971317;0;0.82290966;0;0.82290966;0
1753;10.6.2024 15:37:44:907;26.162;0;88.851;0;114.903;0;119.89;0;131.467;0;128.185;0;118.416;0;121.783;0;97.117;0;93.2;0;12.971736;0;0.82132896;0;0.82132896;0
1754;10.6.2024 15:37:45:907;26.164;0;88.799;0;114.886;0;119.874;0;131.469;0;128.169;0;118.436;0;121.785;0;97.101;0;93.238;0;12.971568;0;0.8218723;0;0.8218723;0
1755;10.6.2024 15:37:46:907;26.162;0;88.833;0;114.903;0;119.908;0;131.614;0;128.167;0;118.47;0;121.765;0;97.063;0;93.272;0;12.971317;0;0.82308938;0;0.82308938;0
1756;10.6.2024 15:37:47:907;26.164;0;88.853;0;114.923;0;119.874;0;131.579;0;128.187;0;118.454;0;121.785;0;97.137;0;93.184;0;12.971568;0;0.82068447;0;0.82068447;0
1757;10.6.2024 15:37:48:907;26.166;0;88.891;0;114.888;0;119.858;0;131.618;0;128.116;0;118.547;0;121.823;0;97.175;0;93.276;0;12.971234;0;0.82033255;0;0.82033255;0
1758;10.6.2024 15:37:49:907;26.164;0;88.961;0;114.923;0;119.874;0;131.579;0;128.187;0;118.545;0;121.803;0;97.119;0;93.274;0;12.971652;0;0.82544664;0;0.82544664;0
1759;10.6.2024 15:37:50:907;26.16;0;88.903;0;114.955;0;119.87;0;131.575;0;128.092;0;118.578;0;121.727;0;97.187;0;93.377;0;12.971568;0;0.8228687;0;0.8228687;0
