Name:;Data 6/10/2024 15_08_28
Owner:;Hella
Comments:; 
Acquisition Date:;6/3/2024 10:26:00 AM
Scan List:;Scan List A
Instrument:;34980A;Address:;USB0::2391::1287::MY56482360::0::INSTR;Modules:;2;Slot9:;Computed;Slot1:;34925A
Total Channels:;13
Channel;Name;Function;Range;Resolution;AdvSettings;Scale;Gain;Offset;Label;Limit Type;Limit Setting;
1001;temp ref;Temp 4-Wire RTD;None;C;Temp 4-Wire RTD#1#0.016#Auto#0.001#C#0.00385 (DIN)#100#True;False;1;0;C; ;
1002;TEMP AMB;Temp (Type K);None;C;Temp (Type K)#0.2#0.016#Auto#0.001#C#External#0#true#10 M;False;1;0;C; ;
1004;G In Sol;Temp (Type K);None;C;Temp (Type K)#0.2#0.016#Auto#0.001#C#External#0#true#10 M;False;1;0;C; ;
1005;G IN P;Temp (Type K);None;C;Temp (Type K)#0.2#0.016#Auto#0.001#C#External#0#true#10 M;False;1;0;C; ;
1006;G C H;Temp (Type K);None;C;Temp (Type K)#0.2#0.016#Auto#0.001#C#External#0#true#10 M;False;1;0;C; ;
1007;D Coil P;Temp (Type K);None;C;Temp (Type K)#0.2#0.016#Auto#0.001#C#External#0#true#10 M;False;1;0;C; ;
1008;D IN P;Temp (Type K);None;C;Temp (Type K)#0.2#0.016#Auto#0.001#C#External#0#true#10 M;False;1;0;C; ;
1009;D Coil S;Temp (Type K);None;C;Temp (Type K)#0.2#0.016#Auto#0.001#C#External#0#true#10 M;False;1;0;C; ;
1013;G Box;Temp (Type K);None;C;Temp (Type K)#0.2#0.016#Auto#0.001#C#External#0#true#10 M;False;1;0;C; ;
1014;D Box;Temp (Type K);None;C;Temp (Type K)#0.2#0.016#Auto#0.001#C#External#0#true#10 M;False;1;0;C; ;
1017;V 1;DC Voltage;Auto;5.5;DC Voltage#10M#1#0.016#Auto#0.001;False;1;0;VDC; ;
1040;SHUNT4;DC Voltage;Auto;5.5;DC Voltage#10M#1#0.016#Auto#0.001;False;1;0;VDC; ;
9004;TOK4_1ohm;Ch1040 / 1;;;;False;1;0;ADC; ;

Limit Type;Integer Symbol
None;0
Below;1
Above;2
Out of Limits;3
In Limits;4
Stabilize;5
Bitwise equal;6
Bitwise not equal;7
Numeric equal;8
Numeric not equal;9
Totalizer;11
Destabilize;12

Scan  Control:;Start Action:;Immediately;Stop Action:;User Terminated
Scan Order:1001 1002 1004 1005 1006 1007 1008 1009 1013 1014 1017 1040 
Scan;Time;1001 <temp ref> (C);Limit 1001;1002 <TEMP AMB> (C);Limit 1002;1004 <G In Sol> (C);Limit 1004;1005 <G IN P> (C);Limit 1005;1006 <G C H> (C);Limit 1006;1007 <D Coil P> (C);Limit 1007;1008 <D IN P> (C);Limit 1008;1009 <D Coil S> (C);Limit 1009;1013 <G Box> (C);Limit 1013;1014 <D Box> (C);Limit 1014;1017 <V 1> (VDC);Limit 1017;1040 <SHUNT4> (VDC);Limit 1040;9004 <TOK4_1ohm> (ADC);Limit 9004
17;10.6.2024 15:08:48:907;26.124;0;44.03;0;64.536;0;70.095;0;85.974;0;85.705;0;69.701;0;75.706;0;48.589;0;45.922;0;12.958512;0;1.1907891;0;1.1907891;0
18;10.6.2024 15:08:49:907;26.124;0;43.921;0;64.68;0;70.257;0;86.172;0;85.939;0;69.862;0;75.885;0;48.661;0;45.922;0;12.959014;0;1.19195185;0;1.19195185;0
19;10.6.2024 15:08:50:907;26.128;0;43.907;0;64.845;0;70.458;0;86.428;0;86.176;0;70.01;0;76.05;0;48.719;0;46.016;0;12.958931;0;1.18993814;0;1.18993814;0
20;10.6.2024 15:08:51:907;26.126;0;44.396;0;65.094;0;70.653;0;86.623;0;86.408;0;70.115;0;76.246;0;48.771;0;46.178;0;12.958931;0;1.19233469;0;1.19233469;0
21;10.6.2024 15:08:52:907;26.126;0;44.086;0;65.238;0;70.797;0;86.839;0;86.533;0;70.277;0;76.407;0;48.825;0;46.233;0;12.959098;0;1.19048483;0;1.19048483;0
22;10.6.2024 15:08:53:907;26.124;0;44.212;0;65.343;0;70.956;0;86.837;0;86.819;0;70.382;0;76.62;0;48.823;0;46.249;0;12.958512;0;1.18993898;0;1.18993898;0
23;10.6.2024 15:08:54:907;26.124;0;44.23;0;65.487;0;71.207;0;86.999;0;86.963;0;70.49;0;76.853;0;48.895;0;46.394;0;12.959014;0;1.18983198;0;1.18983198;0
24;10.6.2024 15:08:55:907;26.126;0;44.468;0;65.614;0;71.37;0;87.216;0;87.198;0;70.581;0;76.98;0;48.915;0;46.524;0;12.958847;0;1.19390035;0;1.19390035;0
25;10.6.2024 15:08:56:907;26.124;0;44.521;0;65.792;0;71.584;0;87.34;0;87.466;0;70.705;0;77.175;0;49.039;0;46.631;0;12.959098;0;1.19244002;0;1.19244002;0
26;10.6.2024 15:08:57:907;26.124;0;45.012;0;65.917;0;71.691;0;87.484;0;87.646;0;70.813;0;77.355;0;49.075;0;46.704;0;12.959182;0;1.19336453;0;1.19336453;0
27;10.6.2024 15:08:58:907;26.126;0;45.396;0;66.134;0;71.819;0;87.702;0;87.791;0;70.994;0;77.536;0;49.113;0;46.96;0;12.959433;0;1.19201538;0;1.19201538;0
28;10.6.2024 15:08:59:907;26.124;0;45.394;0;66.186;0;71.978;0;87.807;0;88.041;0;71.099;0;77.695;0;49.165;0;46.995;0;12.959098;0;1.1893505;0;1.1893505;0
29;10.6.2024 15:09:00:907;26.126;0;45.36;0;66.349;0;72.124;0;87.953;0;88.151;0;71.209;0;77.894;0;49.239;0;47.142;0;12.959098;0;1.19242413;0;1.19242413;0
30;10.6.2024 15:09:01:907;26.126;0;45.56;0;66.511;0;72.321;0;88.097;0;88.331;0;71.388;0;78.091;0;49.257;0;47.27;0;12.958847;0;1.19350413;0;1.19350413;0
31;10.6.2024 15:09:02:907;26.126;0;45.432;0;66.654;0;72.536;0;88.331;0;88.492;0;71.55;0;78.217;0;49.293;0;47.361;0;12.959182;0;1.19168519;0;1.19168519;0
32;10.6.2024 15:09:03:907;26.124;0;45.758;0;66.814;0;72.713;0;88.472;0;88.67;0;71.637;0;78.394;0;49.364;0;47.668;0;12.959265;0;1.18997409;0;1.18997409;0
33;10.6.2024 15:09:04:907;26.126;0;45.778;0;66.995;0;72.877;0;88.744;0;88.87;0;71.783;0;78.575;0;49.42;0;47.761;0;12.959014;0;1.19231965;0;1.19231965;0
34;10.6.2024 15:09:05:907;26.13;0;45.382;0;67.142;0;73.078;0;88.802;0;89.017;0;71.93;0;78.704;0;49.55;0;47.765;0;12.959182;0;1.18926022;0;1.18926022;0
35;10.6.2024 15:09:06:907;26.126;0;45.505;0;67.318;0;73.181;0;88.888;0;89.139;0;71.998;0;78.808;0;49.582;0;47.779;0;12.959014;0;1.19132241;0;1.19132241;0
36;10.6.2024 15:09:07:907;26.126;0;45.596;0;67.425;0;73.289;0;88.977;0;89.355;0;72.141;0;79.041;0;49.636;0;47.906;0;12.959349;0;1.1906704;0;1.1906704;0
37;10.6.2024 15:09:08:907;26.124;0;45.412;0;67.567;0;73.448;0;89.263;0;89.479;0;72.211;0;79.182;0;49.688;0;48.012;0;12.959265;0;1.19057761;0;1.19057761;0
38;10.6.2024 15:09:09:907;26.124;0;45.721;0;67.764;0;73.556;0;89.371;0;89.676;0;72.391;0;79.38;0;49.742;0;48.102;0;12.959265;0;1.18900193;0;1.18900193;0
39;10.6.2024 15:09:10:907;26.122;0;45.647;0;67.906;0;73.679;0;89.638;0;89.8;0;72.514;0;79.485;0;49.776;0;48.226;0;12.958931;0;1.19158405;0;1.19158405;0
40;10.6.2024 15:09:11:907;26.124;0;45.649;0;68.051;0;73.825;0;89.784;0;90;0;72.624;0;79.612;0;49.832;0;48.372;0;12.959098;0;1.19224358;0;1.19224358;0
41;10.6.2024 15:09:12:907;26.124;0;45.758;0;68.123;0;73.878;0;89.802;0;90.126;0;72.767;0;79.792;0;49.958;0;48.589;0;12.959349;0;1.19047229;0;1.19047229;0
42;10.6.2024 15:09:13:907;26.126;0;45.942;0;68.232;0;74.024;0;89.912;0;90.361;0;72.93;0;79.919;0;50.122;0;48.554;0;12.959098;0;1.19297751;0;1.19297751;0
43;10.6.2024 15:09:14:907;26.128;0;46.835;0;68.324;0;74.097;0;90.04;0;90.471;0;73.112;0;80.082;0;50.196;0;48.683;0;12.959349;0;1.19304605;0;1.19304605;0
44;10.6.2024 15:09:15:909;26.126;0;46.56;0;68.358;0;74.257;0;90.487;0;90.667;0;73.146;0;79.937;0;50.375;0;48.933;0;12.959349;0;1.18975926;0;1.18975926;0
45;10.6.2024 15:09:16:907;26.126;0;46.36;0;68.716;0;74.382;0;90.379;0;90.739;0;73.414;0;80.295;0;50.321;0;48.789;0;12.959517;0;1.18976845;0;1.18976845;0
46;10.6.2024 15:09:17:907;26.122;0;46.083;0;68.802;0;74.557;0;90.483;0;90.842;0;73.554;0;80.417;0;50.407;0;48.785;0;12.959182;0;1.19164507;0;1.19164507;0
47;10.6.2024 15:09:18:907;26.126;0;46.051;0;68.968;0;74.758;0;90.721;0;91.044;0;73.629;0;80.492;0;50.555;0;49.077;0;12.959349;0;1.19227618;0;1.19227618;0
48;10.6.2024 15:09:19:907;26.128;0;46.544;0;69.005;0;74.778;0;90.776;0;91.172;0;73.685;0;80.656;0;50.647;0;49.151;0;12.959014;0;1.18929867;0;1.18929867;0
49;10.6.2024 15:09:20:907;26.119;0;46.535;0;69.158;0;74.895;0;90.875;0;91.271;0;73.82;0;80.844;0;50.674;0;49.16;0;12.959265;0;1.189893;0;1.189893;0
50;10.6.2024 15:09:21:907;26.128;0;46.617;0;69.31;0;75.047;0;91.01;0;91.423;0;74.008;0;80.942;0;50.809;0;49.313;0;12.959182;0;1.18883224;0;1.18883224;0
51;10.6.2024 15:09:22:907;26.122;0;46.593;0;69.52;0;75.149;0;91.166;0;91.525;0;74.091;0;81.08;0;50.875;0;49.344;0;12.959098;0;1.19008693;0;1.19008693;0
52;10.6.2024 15:09:23:907;26.124;0;46.431;0;69.575;0;75.33;0;91.348;0;91.671;0;74.255;0;81.189;0;50.95;0;49.436;0;12.958847;0;1.19141352;0;1.19141352;0
53;10.6.2024 15:09:24:907;26.124;0;46.595;0;69.647;0;75.402;0;91.491;0;91.851;0;74.434;0;81.351;0;51.04;0;49.544;0;12.958847;0;1.19133077;0;1.19133077;0
54;10.6.2024 15:09:25:907;26.126;0;46.742;0;69.846;0;75.547;0;91.601;0;91.907;0;74.597;0;81.532;0;51.132;0;49.546;0;12.959517;0;1.18950514;0;1.18950514;0
55;10.6.2024 15:09:26:907;26.124;0;46.504;0;69.934;0;75.634;0;91.743;0;92.03;0;74.685;0;81.655;0;51.166;0;49.652;0;12.959182;0;1.19126389;0;1.19126389;0
56;10.6.2024 15:09:27:907;26.126;0;47.16;0;70.026;0;75.851;0;91.907;0;92.14;0;74.848;0;81.765;0;51.276;0;49.672;0;12.959182;0;1.19258546;0;1.19258546;0
57;10.6.2024 15:09:28:907;26.124;0;47.067;0;70.221;0;76.011;0;92.03;0;92.3;0;74.936;0;81.888;0;51.382;0;49.85;0;12.959265;0;1.19268076;0;1.19268076;0
58;10.6.2024 15:09:29:907;26.124;0;46.958;0;70.364;0;76.136;0;92.12;0;92.444;0;75.025;0;81.978;0;51.508;0;50.193;0;12.959014;0;1.19119451;0;1.19119451;0
59;10.6.2024 15:09:30:907;26.122;0;47.175;0;70.488;0;76.242;0;92.298;0;92.568;0;75.202;0;82.119;0;51.578;0;50.155;0;12.959265;0;1.18833404;0;1.18833404;0
60;10.6.2024 15:09:31:907;26.124;0;47.504;0;70.562;0;76.441;0;92.282;0;92.713;0;75.348;0;82.265;0;51.688;0;50.12;0;12.959349;0;1.19032768;0;1.19032768;0
61;10.6.2024 15:09:32:907;26.124;0;47.613;0;70.687;0;76.548;0;92.444;0;92.839;0;75.491;0;82.372;0;51.725;0;50.193;0;12.958931;0;1.18984285;0;1.18984285;0
62;10.6.2024 15:09:33:907;26.124;0;47.613;0;70.777;0;76.674;0;92.462;0;92.947;0;75.563;0;82.533;0;51.797;0;50.193;0;12.958847;0;1.19017303;0;1.19017303;0
63;10.6.2024 15:09:34:907;26.119;0;47.554;0;70.861;0;76.794;0;92.565;0;93.122;0;75.737;0;82.672;0;51.882;0;50.332;0;12.958847;0;1.18968403;0;1.18968403;0
64;10.6.2024 15:09:35:907;26.124;0;47.449;0;70.956;0;76.907;0;92.767;0;93.36;0;75.778;0;82.856;0;51.977;0;50.409;0;12.959182;0;1.19175374;0;1.19175374;0
65;10.6.2024 15:09:36:907;26.126;0;47.397;0;71.101;0;77.052;0;92.931;0;93.47;0;75.941;0;82.965;0;51.961;0;50.483;0;12.959098;0;1.19094708;0;1.19094708;0
66;10.6.2024 15:09:37:907;26.122;0;47.229;0;71.241;0;77.191;0;93.035;0;93.556;0;76.009;0;83.087;0;52.065;0;50.623;0;12.958847;0;1.1907473;0;1.1907473;0
67;10.6.2024 15:09:38:907;26.122;0;47.12;0;71.349;0;77.299;0;93.215;0;93.736;0;76.17;0;83.248;0;52.191;0;50.767;0;12.959098;0;1.18824376;0;1.18824376;0
68;10.6.2024 15:09:39:908;26.124;0;47.468;0;71.404;0;77.516;0;93.432;0;93.827;0;76.011;0;83.34;0;52.229;0;51.112;0;12.959433;0;1.19158488;0;1.19158488;0
69;10.6.2024 15:09:40:907;26.124;0;47.795;0;71.602;0;77.552;0;93.468;0;93.917;0;76.351;0;83.483;0;52.319;0;50.913;0;12.958931;0;1.19320738;0;1.19320738;0
70;10.6.2024 15:09:41:907;26.122;0;48.19;0;71.653;0;77.675;0;93.43;0;94.095;0;76.493;0;83.606;0;52.353;0;51.002;0;12.959265;0;1.19080414;0;1.19080414;0
71;10.6.2024 15:09:42:907;26.126;0;47.942;0;71.729;0;77.823;0;93.56;0;94.135;0;76.622;0;83.772;0;52.501;0;51.132;0;12.958931;0;1.19415279;0;1.19415279;0
72;10.6.2024 15:09:43:907;26.122;0;48.298;0;71.851;0;77.926;0;93.682;0;94.383;0;76.672;0;83.893;0;52.516;0;51.236;0;12.959014;0;1.18903035;0;1.18903035;0
73;10.6.2024 15:09:44:907;26.126;0;48.32;0;72.016;0;78.127;0;93.775;0;94.512;0;76.783;0;83.987;0;52.61;0;51.42;0;12.959517;0;1.19361698;0;1.19361698;0
74;10.6.2024 15:09:45:907;26.128;0;48.502;0;72.108;0;78.219;0;93.867;0;94.676;0;76.821;0;84.132;0;52.684;0;51.422;0;12.959433;0;1.19050656;0;1.19050656;0
75;10.6.2024 15:09:46:907;26.124;0;48.3;0;72.265;0;78.251;0;94.043;0;94.78;0;76.978;0;84.307;0;52.824;0;51.454;0;12.959265;0;1.19088941;0;1.19088941;0
76;10.6.2024 15:09:47:907;26.122;0;48.37;0;72.353;0;78.338;0;94.149;0;94.922;0;77.156;0;84.485;0;52.768;0;51.488;0;12.959182;0;1.19299673;0;1.19299673;0
77;10.6.2024 15:09:48:907;26.119;0;49.25;0;72.493;0;78.443;0;94.272;0;95.027;0;77.206;0;84.535;0;52.891;0;51.684;0;12.959098;0;1.19091699;0;1.19091699;0
78;10.6.2024 15:09:49:907;26.122;0;49.578;0;72.64;0;78.571;0;94.508;0;95.065;0;77.353;0;84.735;0;52.966;0;51.759;0;12.959265;0;1.19075065;0;1.19075065;0
79;10.6.2024 15:09:50:907;26.124;0;48.823;0;72.785;0;78.734;0;94.582;0;95.229;0;77.516;0;84.827;0;53.022;0;51.887;0;12.959265;0;1.19152971;0;1.19152971;0
80;10.6.2024 15:09:51:907;26.124;0;49.093;0;72.929;0;78.806;0;94.672;0;95.319;0;77.606;0;84.97;0;53.148;0;52.031;0;12.959182;0;1.18896431;0;1.18896431;0
81;10.6.2024 15:09:52:907;26.126;0;49.474;0;73.056;0;78.916;0;94.836;0;95.411;0;77.805;0;84.99;0;53.24;0;52.069;0;12.959014;0;1.19043718;0;1.19043718;0
82;10.6.2024 15:09:53:907;26.126;0;49.041;0;73.181;0;79.041;0;95.051;0;95.465;0;77.912;0;85.098;0;53.312;0;52.231;0;12.959349;0;1.1901396;0;1.1901396;0
83;10.6.2024 15:09:54:907;26.126;0;49.347;0;73.307;0;79.023;0;95.141;0;95.644;0;78.055;0;85.205;0;53.493;0;52.321;0;12.959433;0;1.19147287;0;1.19147287;0
84;10.6.2024 15:09:55:907;26.124;0;49.364;0;73.341;0;79.182;0;95.121;0;95.696;0;78.143;0;85.347;0;53.545;0;52.481;0;12.959182;0;1.1926281;0;1.1926281;0
85;10.6.2024 15:09:56:907;26.126;0;50.14;0;73.486;0;79.256;0;95.231;0;95.878;0;78.288;0;85.42;0;53.619;0;52.447;0;12.958847;0;1.19129231;0;1.19129231;0
86;10.6.2024 15:09:57:907;26.124;0;50.355;0;73.61;0;79.38;0;95.391;0;96.002;0;78.466;0;85.544;0;53.761;0;52.463;0;12.958931;0;1.18860571;0;1.18860571;0
87;10.6.2024 15:09:58:907;26.126;0;50.555;0;73.647;0;79.525;0;95.555;0;96.13;0;78.557;0;85.653;0;53.817;0;52.537;0;12.958512;0;1.19094959;0;1.19094959;0
88;10.6.2024 15:09:59:907;26.117;0;50.42;0;73.836;0;79.606;0;95.6;0;96.175;0;78.692;0;85.77;0;53.934;0;52.655;0;12.958429;0;1.19694974;0;1.19694974;0
89;10.6.2024 15:10:00:907;26.124;0;50.211;0;73.95;0;79.666;0;95.732;0;96.379;0;78.77;0;85.867;0;54.013;0;52.644;0;12.958847;0;1.19407338;0;1.19407338;0
90;10.6.2024 15:10:01:907;26.124;0;50.337;0;74.022;0;79.738;0;95.84;0;96.469;0;78.842;0;85.992;0;54.086;0;52.752;0;12.958177;0;1.19313466;0;1.19313466;0
91;10.6.2024 15:10:02:907;26.126;0;50.104;0;74.113;0;79.847;0;95.932;0;96.543;0;79.041;0;86.12;0;54.142;0;52.898;0;12.95868;0;1.19025913;0;1.19025913;0
92;10.6.2024 15:10:03:907;26.126;0;49.906;0;74.185;0;79.991;0;96.04;0;96.687;0;79.041;0;86.228;0;54.268;0;52.97;0;12.958931;0;1.19132074;0;1.19132074;0
93;10.6.2024 15:10:04:907;26.122;0;49.884;0;74.396;0;80.059;0;96.234;0;96.827;0;79.198;0;86.314;0;54.372;0;53.02;0;12.958847;0;1.19035192;0;1.19035192;0
94;10.6.2024 15:10:05:907;26.126;0;49.726;0;74.472;0;80.206;0;96.363;0;96.956;0;79.328;0;86.444;0;54.448;0;53.15;0;12.958596;0;1.1896531;0;1.1896531;0
95;10.6.2024 15:10:06:907;26.119;0;50.061;0;74.536;0;80.271;0;96.41;0;97.111;0;79.446;0;86.563;0;54.531;0;53.143;0;12.958429;0;1.18886651;0;1.18886651;0
96;10.6.2024 15:10:07:908;26.124;0;49.814;0;74.631;0;80.598;0;96.757;0;97.134;0;79.451;0;86.657;0;54.734;0;53.581;0;12.958763;0;1.19148123;0;1.19148123;0
97;10.6.2024 15:10:08:907;26.124;0;49.796;0;74.667;0;80.508;0;96.613;0;97.296;0;79.648;0;86.801;0;54.716;0;53.491;0;12.958931;0;1.1916108;0;1.1916108;0
98;10.6.2024 15:10:09:907;26.122;0;49.938;0;74.844;0;80.56;0;96.809;0;97.473;0;79.754;0;86.871;0;54.859;0;53.759;0;12.958512;0;1.19276769;0;1.19276769;0
99;10.6.2024 15:10:10:907;26.124;0;50.175;0;74.828;0;80.706;0;96.864;0;97.601;0;79.863;0;86.927;0;54.969;0;53.743;0;12.958847;0;1.18880047;0;1.18880047;0
100;10.6.2024 15:10:11:907;26.119;0;51.305;0;75.056;0;80.862;0;96.967;0;97.794;0;79.966;0;87.084;0;55.054;0;53.774;0;12.95868;0;1.19103569;0;1.19103569;0
101;10.6.2024 15:10:12:907;26.122;0;51.416;0;75.095;0;80.972;0;97.078;0;97.869;0;80.166;0;87.23;0;55.129;0;53.849;0;12.95868;0;1.18903202;0;1.18903202;0
102;10.6.2024 15:10:13:907;26.122;0;51.705;0;75.22;0;81.062;0;97.294;0;97.959;0;80.291;0;87.302;0;55.219;0;53.885;0;12.958596;0;1.18934966;0;1.18934966;0
103;10.6.2024 15:10:14:907;26.124;0;51.833;0;75.294;0;81.225;0;97.386;0;97.979;0;80.347;0;87.466;0;55.311;0;53.959;0;12.958763;0;1.19214327;0;1.19214327;0
104;10.6.2024 15:10:15:907;26.128;0;52.035;0;75.459;0;81.319;0;97.497;0;98.108;0;80.459;0;87.524;0;55.423;0;53.999;0;12.958847;0;1.19136587;0;1.19136587;0
105;10.6.2024 15:10:16:909;26.126;0;51.799;0;75.278;0;81.46;0;97.693;0;98.358;0;80.331;0;87.576;0;55.457;0;54.34;0;12.958596;0;1.1906495;0;1.1906495;0
106;10.6.2024 15:10:17:907;26.124;0;51.941;0;75.634;0;81.494;0;97.619;0;98.356;0;80.652;0;87.807;0;55.563;0;54.248;0;12.958345;0;1.19138092;0;1.19138092;0
107;10.6.2024 15:10:18:907;26.124;0;51.959;0;75.724;0;81.655;0;97.781;0;98.519;0;80.723;0;87.915;0;55.599;0;54.302;0;12.958763;0;1.19037783;0;1.19037783;0
